symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
CKX,2016-12-31,False,FY,2016,10-K,863402.0,187360.0,170674.0,0.09,0.09,0.0,14418324.0,4537058.0,132457.0,1081188.0,13986948.0,280807.0,-1973550.0,6507.0
HMG,2016-12-31,False,FY,2016,10-K,66030.0,-1405535.0,-431427.0,-0.42,-0.42,0.5,22777421.0,,,3019463.0,20397600.0,-880011.0,1687451.0,-9001362.0
MHH,2016-12-31,False,FY,2016,10-K,132008000.0,4507000.0,2520000.0,0.57,0.56,0.0,39491000.0,22964000.0,12257000.0,829000.0,19072000.0,2292000.0,-38000.0,-2273000.0
NBY,2016-12-31,False,FY,2016,10-K,11897000.0,-10982000.0,-13151000.0,-1.4,-1.4,0.0,15381000.0,14471000.0,4323000.0,9512000.0,7101000.0,-12135000.0,-160000.0,19422000.0
ACN,2017-02-28,False,Q2,2017,10-Q,8762182000.0,1138653000.0,838752000.0,1.35,1.33,0.0,20078773000.0,10764002000.0,8352773000.0,3238862000.0,8615149000.0,1238585000.0,-1033788000.0,-1844095000.0
IOTS,2016-12-31,False,FY,2016,10-K,43968000.0,-10303000.0,-11612000.0,-0.77,-0.77,0.0,46183000.0,31579000.0,15408000.0,19719000.0,16365000.0,-5039000.0,-2481000.0,4221000.0
BBY,2017-01-28,False,FY,2017,10-K,39403000000.0,1854000000.0,1228000000.0,3.86,3.81,1.57,13856000000.0,10516000000.0,7122000000.0,2240000000.0,4709000000.0,2545000000.0,-887000000.0,-1404000000.0
AGLE,2016-12-31,False,FY,2016,10-K,4628000.0,-21906000.0,-21698000.0,-2.22,-2.22,0.0,67063000.0,66424000.0,3965000.0,47748000.0,62966000.0,-18840000.0,-12076000.0,49370000.0
BOX,2017-01-31,False,FY,2017,10-K,398605000.0,-150655000.0,-151787000.0,-1.19,-1.19,0.0,493674000.0,322101000.0,297941000.0,177391000.0,74732000.0,-1218000.0,-7572000.0,479000.0
LPTN,2016-12-31,False,FY,2016,10-K,64868000.0,-20761000.0,-41167000.0,-105.69,-105.69,0.0,102124000.0,43621000.0,20280000.0,19111000.0,42417000.0,-12901000.0,-2165000.0,12617000.0
